CMDLINE /usr/bin/python3 main.py
MEM 81.855469 1750778306.6492
MEM 81.855469 1750778306.7499
MEM 81.855469 1750778306.8506
MEM 81.855469 1750778306.9513
MEM 81.855469 1750778307.0520
MEM 81.855469 1750778307.1526
MEM 81.855469 1750778307.2533
MEM 81.855469 1750778307.3539
MEM 81.855469 1750778307.4546
MEM 81.855469 1750778307.5552
MEM 81.855469 1750778307.6559
MEM 81.855469 1750778307.7564
MEM 81.855469 1750778307.8568
MEM 81.855469 1750778307.9574
MEM 81.855469 1750778308.0580
MEM 81.855469 1750778308.1587
MEM 81.855469 1750778308.2594
MEM 81.855469 1750778308.3601
MEM 81.855469 1750778308.4608
MEM 81.855469 1750778308.5615
MEM 81.855469 1750778308.6621
MEM 81.855469 1750778308.7629
MEM 81.855469 1750778308.8636
MEM 81.855469 1750778308.9642
MEM 81.855469 1750778309.0648
MEM 81.855469 1750778309.1655
MEM 81.855469 1750778309.2659
MEM 81.855469 1750778309.3663
MEM 81.855469 1750778309.4667
MEM 81.855469 1750778309.5674
MEM 81.855469 1750778309.6681
MEM 81.855469 1750778309.7688
MEM 81.855469 1750778309.8695
MEM 81.855469 1750778309.9702
MEM 81.855469 1750778310.0709
MEM 81.855469 1750778310.1716
MEM 81.855469 1750778310.2723
MEM 81.855469 1750778310.3730
MEM 81.855469 1750778310.4737
MEM 81.855469 1750778310.5743
MEM 81.855469 1750778310.6750
MEM 81.855469 1750778310.7757
MEM 81.855469 1750778310.8763
MEM 81.855469 1750778310.9770
MEM 81.855469 1750778311.0777
MEM 81.855469 1750778311.1784
MEM 81.855469 1750778311.2791
MEM 81.855469 1750778311.3799
MEM 81.855469 1750778311.4805
MEM 81.855469 1750778311.5811
MEM 81.855469 1750778311.6818
MEM 81.855469 1750778311.7825
MEM 81.855469 1750778311.8831
MEM 81.855469 1750778311.9838
MEM 81.855469 1750778312.0845
MEM 81.855469 1750778312.1853
MEM 81.855469 1750778312.2860
MEM 81.855469 1750778312.3867
MEM 81.855469 1750778312.4873
MEM 81.855469 1750778312.5880
MEM 81.855469 1750778312.6887
MEM 81.855469 1750778312.7893
MEM 81.855469 1750778312.8900
MEM 81.855469 1750778312.9907
MEM 81.855469 1750778313.0914
MEM 81.855469 1750778313.1921
MEM 81.855469 1750778313.2928
MEM 81.855469 1750778313.3935
MEM 81.855469 1750778313.4942
MEM 81.855469 1750778313.5950
MEM 81.855469 1750778313.6958
MEM 81.855469 1750778313.7965
MEM 81.855469 1750778313.8971
MEM 81.855469 1750778313.9979
MEM 81.855469 1750778314.0986
MEM 81.855469 1750778314.1993
MEM 81.855469 1750778314.3000
MEM 81.855469 1750778314.4007
MEM 81.855469 1750778314.5014
MEM 81.855469 1750778314.6021
MEM 81.855469 1750778314.7028
MEM 81.855469 1750778314.8035
MEM 81.855469 1750778314.9042
MEM 81.855469 1750778315.0048
MEM 81.855469 1750778315.1055
MEM 81.855469 1750778315.2062
MEM 81.855469 1750778315.3069
MEM 81.855469 1750778315.4075
MEM 81.855469 1750778315.5080
MEM 81.855469 1750778315.6087
MEM 81.855469 1750778315.7094
MEM 81.855469 1750778315.8100
MEM 81.855469 1750778315.9107
MEM 81.855469 1750778316.0114
MEM 81.855469 1750778316.1122
MEM 81.855469 1750778316.2130
MEM 81.855469 1750778316.3136
MEM 81.855469 1750778316.4142
MEM 81.855469 1750778316.5149
MEM 81.855469 1750778316.6155
MEM 81.855469 1750778316.7161
MEM 81.855469 1750778316.8169
MEM 81.855469 1750778316.9172
MEM 81.855469 1750778317.0177
MEM 81.855469 1750778317.1183
MEM 81.855469 1750778317.2189
MEM 81.855469 1750778317.3196
MEM 81.855469 1750778317.4203
MEM 81.855469 1750778317.5210
MEM 81.855469 1750778317.6217
MEM 81.855469 1750778317.7223
MEM 81.855469 1750778317.8230
MEM 81.855469 1750778317.9238
MEM 81.855469 1750778318.0245
MEM 81.855469 1750778318.1251
MEM 81.855469 1750778318.2259
MEM 81.855469 1750778318.3266
MEM 81.855469 1750778318.4273
MEM 81.855469 1750778318.5280
MEM 81.855469 1750778318.6287
MEM 81.855469 1750778318.7293
MEM 81.855469 1750778318.8300
MEM 81.855469 1750778318.9307
MEM 81.855469 1750778319.0313
MEM 81.855469 1750778319.1320
MEM 81.855469 1750778319.2326
MEM 81.855469 1750778319.3332
MEM 81.855469 1750778319.4336
MEM 81.855469 1750778319.5342
MEM 81.855469 1750778319.6348
MEM 81.855469 1750778319.7355
MEM 81.855469 1750778319.8361
MEM 81.855469 1750778319.9368
MEM 81.855469 1750778320.0374
MEM 81.855469 1750778320.1381
MEM 81.855469 1750778320.2388
